query_id,pmid,rank,score,model_name
Q1,41873111,1,0.759731113910675,scibert
Q1,38294804,2,0.7516465187072754,scibert
Q1,40835172,3,0.7432880401611328,scibert
Q1,39893456,4,0.741664469242096,scibert
Q1,39120694,5,0.7411994934082031,scibert
Q1,35652366,6,0.7385162115097046,scibert
Q1,40528288,7,0.7370856404304504,scibert
Q1,40321052,8,0.7348182797431946,scibert
Q1,40457754,9,0.7340500354766846,scibert
Q1,41877517,10,0.7334462404251099,scibert
Q2,41785666,1,0.752406895160675,scibert
Q2,40321052,2,0.7436609864234924,scibert
Q2,39888130,3,0.7421613931655884,scibert
Q2,41889025,4,0.7419180870056152,scibert
Q2,35652366,5,0.7409579753875732,scibert
Q2,38627230,6,0.7394887804985046,scibert
Q2,40543174,7,0.7387216091156006,scibert
Q2,41873111,8,0.7386456727981567,scibert
Q2,37079031,9,0.7329190969467163,scibert
Q2,41891380,10,0.7276255488395691,scibert
Q3,37772490,1,0.7846574783325195,scibert
Q3,33590339,2,0.7638285160064697,scibert
Q3,36625888,3,0.7617268562316895,scibert
Q3,41910973,4,0.7583214044570923,scibert
Q3,41873111,5,0.755559504032135,scibert
Q3,40495080,6,0.7537854909896851,scibert
Q3,33290417,7,0.7534266710281372,scibert
Q3,34175775,8,0.7531148195266724,scibert
Q3,36396812,9,0.7520285844802856,scibert
Q3,38294804,10,0.7481392621994019,scibert
Q4,35652366,1,0.7906743288040161,scibert
Q4,40495080,2,0.7780070304870605,scibert
Q4,37772490,3,0.77606201171875,scibert
Q4,34175775,4,0.7658722996711731,scibert
Q4,36625888,5,0.7639199495315552,scibert
Q4,35859467,6,0.7638710737228394,scibert
Q4,32732697,7,0.7592393159866333,scibert
Q4,33590339,8,0.7575193643569946,scibert
Q4,32434868,9,0.7550110220909119,scibert
Q4,34667130,10,0.7549055814743042,scibert
Q5,35652366,1,0.7632503509521484,scibert
Q5,41873111,2,0.7477430701255798,scibert
Q5,40321052,3,0.737587571144104,scibert
Q5,38627230,4,0.7343352437019348,scibert
Q5,38294804,5,0.7326322793960571,scibert
Q5,35150351,6,0.7323949933052063,scibert
Q5,40457754,7,0.7316140532493591,scibert
Q5,38216851,8,0.7311437726020813,scibert
Q5,40495080,9,0.7301556468009949,scibert
Q5,40835172,10,0.7301320433616638,scibert
Q6,35652366,1,0.7528901100158691,scibert
Q6,41873111,2,0.7488997578620911,scibert
Q6,41785666,3,0.7482143640518188,scibert
Q6,41889025,4,0.7480878829956055,scibert
Q6,40321052,5,0.7452796697616577,scibert
Q6,38627230,6,0.7415592074394226,scibert
Q6,40543174,7,0.7366432547569275,scibert
Q6,37079031,8,0.7309256792068481,scibert
Q6,40835172,9,0.7293075323104858,scibert
Q6,39888130,10,0.7292779684066772,scibert
Q7,41873111,1,0.7584336400032043,scibert
Q7,41967284,2,0.7545527219772339,scibert
Q7,37772490,3,0.7489827275276184,scibert
Q7,39847856,4,0.7462063431739807,scibert
Q7,41910973,5,0.743799090385437,scibert
Q7,41929942,6,0.7435431480407715,scibert
Q7,40495080,7,0.7396766543388367,scibert
Q7,35652366,8,0.7388264536857605,scibert
Q7,38875039,9,0.7365058064460754,scibert
Q7,40528288,10,0.7349410653114319,scibert
