query_id,pmid,rank,score,model_name
Q1,41030116,1,0.7604367136955261,scibert
Q1,40865647,2,0.7488529086112976,scibert
Q1,38189711,3,0.7435174584388733,scibert
Q1,41947717,4,0.7346783876419067,scibert
Q1,38711107,5,0.7326906323432922,scibert
Q1,37182886,6,0.7200555801391602,scibert
Q1,41706242,7,0.7199443578720093,scibert
Q1,39694820,8,0.7187559604644775,scibert
Q1,37611119,9,0.7172316312789917,scibert
Q1,37067590,10,0.7166773080825806,scibert
Q1,40047132,11,0.7098925113677979,scibert
Q1,39794837,12,0.7097315788269043,scibert
Q1,39154408,13,0.7085129022598267,scibert
Q1,37300357,14,0.7082064151763916,scibert
Q1,40645254,15,0.708001434803009,scibert
Q1,41919360,16,0.7073432207107544,scibert
Q1,41950049,17,0.7059822082519531,scibert
Q1,41919533,18,0.705775260925293,scibert
Q1,41949989,19,0.7044389247894287,scibert
Q1,41948539,20,0.7033358812332153,scibert
Q2,38189711,1,0.7443739175796509,scibert
Q2,41706242,2,0.7305349111557007,scibert
Q2,37067590,3,0.7230962514877319,scibert
Q2,41030116,4,0.7172365188598633,scibert
Q2,40645254,5,0.7170277833938599,scibert
Q2,38962980,6,0.7093236446380615,scibert
Q2,39694820,7,0.7056553363800049,scibert
Q2,40865647,8,0.704698920249939,scibert
Q2,37562366,9,0.7039275169372559,scibert
Q2,41947717,10,0.7016114592552185,scibert
Q2,41117607,11,0.700034499168396,scibert
Q2,39579685,12,0.6976603269577026,scibert
Q2,38711107,13,0.6976363658905029,scibert
Q2,32957101,14,0.6973170638084412,scibert
Q2,36537667,15,0.6965184211730957,scibert
Q2,40047132,16,0.6958590745925903,scibert
Q2,41868838,17,0.6958101987838745,scibert
Q2,41969198,18,0.6956910490989685,scibert
Q2,35648233,19,0.6943182349205017,scibert
Q2,36018381,20,0.6936726570129395,scibert
Q3,41880327,1,0.7403198480606079,scibert
Q3,37611119,2,0.7388761043548584,scibert
Q3,41919533,3,0.7387644052505493,scibert
Q3,39694820,4,0.7373499870300293,scibert
Q3,41117607,5,0.731876015663147,scibert
Q3,36537667,6,0.7316851615905762,scibert
Q3,35764402,7,0.7306858897209167,scibert
Q3,40219952,8,0.7297140955924988,scibert
Q3,41949989,9,0.7295899391174316,scibert
Q3,34011720,10,0.7287333607673645,scibert
Q3,38962980,11,0.7282848358154297,scibert
Q3,38711107,12,0.7278539538383484,scibert
Q3,39514529,13,0.7275328636169434,scibert
Q3,36018381,14,0.7270938754081726,scibert
Q3,38189711,15,0.72566819190979,scibert
Q3,37067590,16,0.7254951596260071,scibert
Q3,34045307,17,0.7249776721000671,scibert
Q3,41030116,18,0.7244027256965637,scibert
Q3,37440532,19,0.7235288023948669,scibert
Q3,32424064,20,0.7233039736747742,scibert
Q4,37067590,1,0.785391092300415,scibert
Q4,38962980,2,0.758739173412323,scibert
Q4,41117607,3,0.7516565918922424,scibert
Q4,36018381,4,0.7485405206680298,scibert
Q4,36537667,5,0.7451494932174683,scibert
Q4,39694820,6,0.741934061050415,scibert
Q4,38189711,7,0.741187572479248,scibert
Q4,40260743,8,0.7392205595970154,scibert
Q4,32957101,9,0.7383590936660767,scibert
Q4,35648233,10,0.7362123131752014,scibert
Q4,35030370,11,0.732495903968811,scibert
Q4,41774902,12,0.7321556806564331,scibert
Q4,39673145,13,0.7269445657730103,scibert
Q4,34011720,14,0.7266860604286194,scibert
Q4,36635219,15,0.7265146970748901,scibert
Q4,40047132,16,0.7252196073532104,scibert
Q4,40219952,17,0.7231411933898926,scibert
Q4,37611119,18,0.7222504019737244,scibert
Q4,41962171,19,0.7212266325950623,scibert
Q4,40645254,20,0.7178642749786377,scibert
Q5,38189711,1,0.7330383062362671,scibert
Q5,37067590,2,0.7272659540176392,scibert
Q5,37562366,3,0.7248587012290955,scibert
Q5,40865647,4,0.724514365196228,scibert
Q5,41030116,5,0.7221614122390747,scibert
Q5,40260743,6,0.7153539657592773,scibert
Q5,34224526,7,0.7151728868484497,scibert
Q5,41947717,8,0.7114653587341309,scibert
Q5,40047132,9,0.7107785940170288,scibert
Q5,36635219,10,0.7078676223754883,scibert
Q5,36537667,11,0.7073550224304199,scibert
Q5,38711107,12,0.7066726684570312,scibert
Q5,37300357,13,0.7060922384262085,scibert
Q5,37551793,14,0.7057603001594543,scibert
Q5,40645254,15,0.7056947946548462,scibert
Q5,41117607,16,0.7047596573829651,scibert
